Symbol,Name
HEBA-B.ST,HEBA B
HIQ.ST,HiQ International
HLDX.ST,Haldex
HMS.ST,HMS Networks
HNSA.ST,Hansa Biopharma
HOFI.ST,Hoist Finance
HTRO.ST,Hexatronic Group
HUM.ST,Humana
IAR-B.ST,I.A.R Systems Group
IBT-B.ST,Infant Bacterial TherapeuticsB
IMMNOV.ST,Immunovia
INSTAL.ST,Instalco
INWI.ST,Inwido
IPCO.ST,International Petroleum Corp.
ITAB-B.ST,ITAB Shop Concept B
IVSO.ST,INVISIO
JOMA.ST,John Mattson Fastighetsföret.
JOSE.ST,Josemaria Resources
K2A-B.ST,K2A Knaust & Andersson B
K2A-PREF.ST,K2A Knaust & Andersson Pref
KAR.ST,Karnov Group
KARO.ST,Karo Pharma
KFAST-B.ST,K-Fast Holding B
KNOW.ST,Knowit
LAGR-B.ST,Lagercrantz Group B
LEO.ST,LeoVegas
LIAB.ST,Lindab International
LUC.ST,Lucara Diamond Corp
LUG.ST,Lundin Gold
MEKO.ST,Mekonomen
MIPS.ST,Mips
MMGR-B.ST,Momentum Group B
MSON-A.ST,Midsona A
MSON-B.ST,Midsona B
MTRS.ST,Munters Group
NET-B.ST,NetEnt B
NEWA-B.ST,New Wave B
NMAN.ST,Nederman Holding
NOBINA.ST,Nobina
NP3.ST,NP3 Fastigheter
NP3-PREF.ST,NP3 Fastigheter Pref
NWG.ST,Nordic Waterproofing Holding
OASM.ST,Oasmia Pharmaceutical
OEM-B.ST,OEM International B
ONCO.ST,Oncopeptides
OPUS.ST,Opus Group
ORES.ST,Öresund
ORX.ST,Orexo
PACT.ST,Proact IT Group
PLAZ-B.ST,Platzer Fastigheter Holding B
PROB.ST,Probi
QLINEA.ST,Q-Linea
QLRO.ST,Qliro Group
RAY-B.ST,RaySearch Laboratories B
RECI-B.ST,Recipharm B
RROS.ST,Rottneros
SAS.ST,SAS
SCST.ST,Scandi Standard
SECT-B.ST,SECTRA B
SHOT.ST,Scandic Hotels Group
SINCH.ST,Sinch
SKIS-B.ST,SkiStar B
SMF.ST,Semafo
STEF-B.ST,Stendörren Fastigheter B
SVOL-A.ST,Svolder A
SVOL-B.ST,Svolder B
SYSR.ST,Systemair
TETY.ST,Tethys Oil
TFBANK.ST,TF Bank
TOBII.ST,Tobii
TRAC-B.ST,Traction B
TROAX.ST,Troax Group
VBG-B.ST,VBG GROUP B
VIT-B.ST,Vitec Software Group B
VNV-SDB.ST,VNV Global
VOLO.ST,Volati
VOLO-PREF.ST,Volati Pref
XANO-B.ST,XANO Industri B
XVIVO.ST,Xvivo Perfusion
ABLI.ST,Abliva
ACE.ST,Ascelia Pharma
ACTI.ST,Active Biotech
AGRO.ST,Agromino
ANOT.ST,Anoto Group
ARISE.ST,Arise
ARP.ST,Arctic Paper
ATIC.ST,Actic Group
ATRE.ST,A3 Allmänna IT- och Telekom.
B3.ST,B3 Consulting Group
BACTI-B.ST,Bactiguard Holding B
BALCO.ST,Balco Group
BEGR.ST,BE Group
BELE.ST,Beijer Electronics Group
BINV.ST,BioInvent International
BONEX.ST,BONESUPPORT HOLDING
BONG.ST,Bong
BORG.ST,Björn Borg
BOUL.ST,Boule Diagnostics
BRG-B.ST,Bergs Timber B
BRIN-B.ST,Brinova Fastigheter B
CANTA.ST,Cantargia
CBTT-B.ST,Christian Berner Tech Trade B
CCOR-B.ST,Concordia Maritime B
CONS-B.ST,Consilium B
CRAD-B.ST,C-RAD B
CTT.ST,CTT Systems
DEDI.ST,Dedicare B
DORO.ST,DORO
DURC-B.ST,Duroc B
EDGE.ST,Edgeware
ELEC.ST,Electra Gruppen
ELOS-B.ST,Elos Medtech B
EMPIR-B.ST,Empir Group B
ENDO.ST,Endomines
ENRO.ST,Eniro
ENRO-PREF.ST,Eniro pref
EPIS-B.ST,Episurf B
ETX.ST,Etrion
EWRK.ST,eWork Group
FEEL.ST,Feelgood Svenska
FMM-B.ST,FM Mattsson Mora Group B
FPIP.ST,FormPipe Software
GHP.ST,GHP Specialty Care
GIGSEK.ST,Gaming Innovation Group
GREEN.ST,Green Landscaping Group
HANZA.ST,Hanza Holding
HAV-B.ST,Havsfrun Investment B
IMMU.ST,Immunicum
IRRAS.ST,IRRAS
IS.ST,Image Systems
KABE-B.ST,KABE Group B
KDEV.ST,Karolinska Development B
LAMM-B.ST,Lammhults Design Group B
LIME.ST,Lime Technologies
MAG.ST,Magnolia Bostad
MCAP.ST,MedCap
MEAB-B.ST,Malmbergs Elektriska B
MIDW-A.ST,Midway A
MIDW-B.ST,Midway B
MOB.ST,Moberg Pharma
MOMENT.ST,Moment Group
MSAB-B.ST,Micro Systemation B
MULQ.ST,MultiQ International
MVIR-B.ST,Medivir B
NAXS.ST,NAXS
NCAB.ST,NCAB Group
NETI-B.ST,Net Insight B
NGS.ST,NGS Group
NIL-B.ST,Nilörngruppen B
NOTE.ST,NOTE
NTEK-B.ST,NOVOTEK B
ODD.ST,Odd Molly International
OP.ST,Oscar Properties Holding
OP-PREF.ST,Oscar Properties Holding PREF
OP-PREFB.ST,Oscar Properties Holding PREFB
ORTI-A.ST,Ortivus A
ORTI-B.ST,Ortivus B
PENG-B.ST,Projektengagemang Sweden B
PLED.ST,PledPharma
POOL-B.ST,Poolia B
PREC.ST,Precise Biometrics
PREV-B.ST,Prevas B
PRIC-B.ST,Pricer B
PROF-B.ST,Profilgruppen B
RAIL.ST,Railcare Group
REJL-B.ST,Rejlers B
RNBS.ST,RNB RETAIL AND BRANDS
SANION.ST,Saniona
SEMC.ST,Semcon
SENS.ST,Sensys Gatso Group
SINT.ST,SinterCast
SOF-B.ST,Softronic B
SRNKE-B.ST,Serneke Group B
SSM.ST,SSM Holding
STAR-A.ST,Starbreeze A
STAR-B.ST,Starbreeze B
STRAX.ST,Strax
STWK.ST,Stockwik Förvaltning
SVED-B.ST,Svedbergs B
SVIK.ST,Studsvik
TRAD.ST,TradeDoubler
TRENT.ST,Trention
VICO.ST,Vicore Pharma Holding
VRG-B.ST,Venue Retail Group B
VSSAB-B.ST,Viking Supply Ships B
WISE.ST,Wise Group
XBRANE.ST,Xbrane Biopharma
XSPRAY.ST,Xspray Pharma
ZETA.ST,ZetaDisplay
