Ticker,Name,Exchange
^OMX, OMX Stockholm 30 Index, STO
^FTSE, FTSE 100, UNKWN
^DJI, DOW, NYSE
^IXIC, NASDAQ Composite, NASDAQ
^GSPC, S&P 500, UNKWN
