Symbol,Name
EUR-XAF.F,EUR-XAF.F
AFNUSD=X,AFN/USD
AUDJMD=X,AUD/JMD
AEDSAR=X,AED/SAR
AUDKWD=X,AUD/KWD
AOA=X,USD/AOA
AUDISK=X,AUD/ISK
EURMUR=X,EUR/MUR
AUDDKK=X,AUD/DKK
AUGLE.SW,AUGLE.SW
AUDKES=X,AUD/KES
AEDDKK=X,AED/DKK
ARSSGD=X,ARS/SGD
EUR-JOD.F,EUR-JOD.F
AEDIDR=X,AED/IDR
AUDTMT=X,AUD/TMT
AUDUGX=X,AUD/UGX
AUDBRL=X,AUD/BRL
AOACHF=X,AOA/CHF
AUDARS=X,AUD/ARS
AUDAWG=X,AUD/AWG
AUDCNY=X,AUD/CNY
AWGUSD=X,AWG/USD
EURBOB=X,EUR/BOB
AUDZAR=X,AUD/ZAR
AEDCHF=X,AED/CHF
AUDPEN=X,AUD/PEN
AEDIQD=X,AED/IQD
AUDBAM=X,AUD/BAM
AOAEUR=X,AOA/EUR
ANGUSD=X,ANG/USD
AZNEUR=X,AZN/EUR
AUDBBD=X,AUD/BBD
AUDSVC=X,AUD/SVC
AUDCOP=X,AUD/COP
ALL=X,USD/ALL
AFNEUR=X,AFN/EUR
ALLCHF=X,ALL/CHF
AUDBSD=X,AUD/BSD
AUDTRY=X,AUD/TRY
AUDSEK=X,AUD/SEK
BTCUSD=X,Bitcoin USD
BWPMAD=X,BWP/MAD
BWPKYD=X,BWP/KYD
BWPISK=X,BWP/ISK
BWPINR=X,BWP/INR
BWPIDR=X,BWP/IDR
BWPFJD=X,BWP/FJD
BWPEUR=X,BWP/EUR
BWPBDT=X,BWP/BDT
BRLINR=X,BRL/INR
BOBVEF=X,BOB/VEF
BOBUSD=X,BOB/USD
BOBPEN=X,BOB/PEN
BOBCOP=X,BOB/COP
BOBCHF=X,BOB/CHF
BMDUSD=X,BMD/USD
BMD=X,USD/BMD
BHDOMR=X,BHD/OMR
BHDJPY=X,BHD/JPY
BHDEUR=X,BHD/EUR
BHDCHF=X,BHD/CHF
BHDAED=X,BHD/AED
BBDDKK=X,BBD/DKK
BWPNGN=X,BWP/NGN
BWPTOP=X,BWP/TOP
BWPGBP=X,BWP/GBP
BTN=X,USD/BTN
BWPHUF=X,BWP/HUF
BND=X,USD/BND
BNDGBP=X,BND/GBP
BRLCAD=X,BRL/CAD
BRLRUB=X,BRL/RUB
BWPMUR=X,BWP/MUR
BAMGBP=X,BAM/GBP
BTNUSD=X,BTN/USD
BRLPEN=X,BRL/PEN
BWPTRY=X,BWP/TRY
BWPSEK=X,BWP/SEK
BMDDKK=X,BMD/DKK
BWPAUD=X,BWP/AUD
BWPXDR=X,BWP/XDR
BHDXDR=X,BHD/XDR
BWPRUB=X,BWP/RUB
BRLCHF=X,BRL/CHF
BOB=X,USD/BOB
BMDGBP=X,BMD/GBP
BRLDKK=X,BRL/DKK
BWPCHF=X,BWP/CHF
BRLMYR=X,BRL/MYR
BDTHKD=X,BDT/HKD
BDTCAD=X,BDT/CAD
BWPKES=X,BWP/KES
BWPCNY=X,BWP/CNY
BWPMYR=X,BWP/MYR
BRLHKD=X,BRL/HKD
BHDNZD=X,BHD/NZD
BRLTHB=X,BRL/THB
BWPPGK=X,BWP/PGK
BWPRSD=X,BWP/RSD
BAMEUR=X,BAM/EUR
BBDUSD=X,BBD/USD
BHDSAR=X,BHD/SAR
BWPZMW=X,BWP/ZMW
BWPBMD=X,BWP/BMD
BZDGBP=X,BZD/GBP
BWPOMR=X,BWP/OMR
BRLCNY=X,BRL/CNY
GDEBM.MDD,GDEBM.MDD
BWPRON=X,BWP/RON
BGNGBP=X,BGN/GBP
BOBUYU=X,BOB/UYU
BRLTRY=X,BRL/TRY
BHD=X,USD/BHD
BNDIDR=X,BND/IDR
BWPNOK=X,BWP/NOK
BTNGBP=X,BTN/GBP
BRLEUR=X,BRL/EUR
BWPTZS=X,BWP/TZS
BOBBRL=X,BOB/BRL
BZDCHF=X,BZD/CHF
BWPCLF=X,BWP/CLF
BWPBGN=X,BWP/BGN
BSDCAD=X,BSD/CAD
BNDUSD=X,BND/USD
BWPMWK=X,BWP/MWK
BWPZAR=X,BWP/ZAR
BWPHKD=X,BWP/HKD
BZD=X,USD/BZD
BWP=X,USD/BWP
BRLUYU=X,BRL/UYU
BGNCHF=X,BGN/CHF
BWPBHD=X,BWP/BHD
CHBEZ.SW,CHBEZ.SW
BBDEUR=X,BBD/EUR
BWPNAD=X,BWP/NAD
BIF=X,USD/BIF
BRLZAR=X,BRL/ZAR
BAMCHF=X,BAM/CHF
BDTSGD=X,BDT/SGD
BOBMXN=X,BOB/MXN
BWPKZT=X,BWP/KZT
BDT=X,USD/BDT
BWPXOF=X,BWP/XOF
BRLSGD=X,BRL/SGD
BSDGBP=X,BSD/GBP
BWPJOD=X,BWP/JOD
