Ticker,Name,Exchange
^OMXS60CAPGI,OMX Stockholm 60 Cap_GI,STO
^SLSFISTORA,^SLSFISTORA,STO
^OMXS30FF,OMX Stockholm 30 Free Float,STO
^OMXNSCISKGI,OMX_Nordic_Small_Cap_ISK_GI,STO
^OMRXBOND,OMRX Total Bond Index,STO
^OMXSUSTNCCAPPI,OMX GES Sustainability Nordic C,STO
^OMXNMCDKKPI,OMX_Nordic_Mid_Cap_DKK_PI,STO
^OMRXMUNI,OMRX Municipal Bond Index,STO
^OMXNSCSEKGI,OMX_Nordic_Small_Cap_SEK_GI,STO
^SLSFIFAST,^SLSFIFAST,STO
^OMXBBGI,OMX_Baltic_Benchmark_GI,STO
^OMXBBCAPGI,OMX_Baltic_Benchmark_Cap_GI,STO
^OMXS50EW,OMX Stockholm 50 Equal Weighted,STO
^OMXO20GIEXP,OMX Oslo 20 GI Expiration Index,STO
^OMXNMCISKPI,OMX_Nordic_Mid_Cap_ISK_PI,STO
^OMRXTBILL90,OMRX Treasury Bill 90 day Index,STO
^OMXSLCGI,OMX_Stockholm_Large_Cap_GI,STO
^OMXNORDICISKPI,OMX_Nordic_ISK_PI,STO
^OMRXTBILL60,OMRX Treasury Bill 60 day Index,STO
^OMXNLCSEKPI,OMX_Nordic_Large_Cap_SEK_PI,STO
^OMXSUSTNCCAPGI,OMX GES Sustainability Nordic C,STO
^SWGOVT115,Swedish Government Bond 1-15,STO
^OMXSBGIEXP,OMX Stockholm Benchmark_GI Exp,STO
^OMRXGOVT,OMRX Government Debt Index,STO
^OMXNORDICEURGI,OMX_Nordic_EUR_GI,STO
^OMRXTBILL180,OMRX Treasury Bill 180 day Inde,STO
^OMRXBOND13,OMRX Bond All 1-3 y Index,STO
^OMXS30BID,OMX Stockholm 30 Bid,STO
^OMXS60PI,OMX Stockholm 60_PI,STO
^OMXSBCAPPI,OMX Stockholm Benchmark Cap_PI,STO
^B3700GI,OMX Baltic Personal & Household,STO
^NOMXNINGI,NASDAQ OMX Nordic Industrials G,STO
^NOMXNTISEK,NASDAQ OMX Nordic Tele & InfoTe,STO
^NOMXNMA,NASDAQ OMX Nordic Materials,STO
^N3300EURPI,N Automobiles & Parts EUR PI,STO
^NOMXCRRFPR,NOMX Credit SEK Rated Financial,STO
^TV.ST,Volume in 000's,STO
^FIRSTNORTHISK,First North All-Share ISK,STO
^FIRSTNORTHSEK,First North All-Share SEK,STO
^FIRSTNORTHEUR,First North All-Share EUR,STO
^OMXBBPI,OMX_Baltic_Benchmark_PI,STO
^OMXBBCAPPI,OMX_Baltic_Benchmark_Cap_PI,STO
^OMRXTBILL,OMRX Treasury Bill Index,STO
^NQCISIER,^NQCISIER,STO
^NQCIPAER,^NQCIPAER,STO
^NQCIGCER,^NQCIGCER,STO
^NQCIPATR,^NQCIPATR,STO
^NQCINGER,^NQCINGER,STO
^OMXNLCDKKGI,OMX_Nordic_Large_Cap_DKK_GI,STO
^FN9000PI,First North Technology PI,STO
^FN8000GI,First North Financials GI,STO
^FN5000GI,First North Consumer Services G,STO
^FN4000GI,First North Health Care GI,STO
^FN8000PI,First North Financials PI,STO
^FN4000PI,First North Health Care PI,STO
^FN1000PI,First North Basic Materials PI,STO
^FN5000PI,First North Consumer Services P,STO
^FN7000GI,First North Utilities GI,STO
^FN0001PI,First North Oil & Gas PI,STO
^FN7000PI,First North Utilities PI,STO
^FN1000GI,First North Basic Materials GI,STO
^FN3000PI,First North Consumer Goods PI,STO
^FN2000GI,First North Industrials GI,STO
^FN0001GI,First North Oil & Gas GI,STO
^OMXNSCEURGI,OMX_Nordic_Small_Cap_EUR_GI,STO
^HOXHOUSEMCSWE,NASDAQ OMX Valueguard-KTH House,STO
^HOXHOUSEGBG,NASDAQ OMX Valueguard-KTH House,STO
^HOXFLATSTO,NASDAQ OMX Valueguard Flats Sto,STO
^HOXSWE,NASDAQ OMX Valueguard-KTH Housi,STO
^HOXFLATSWE,NASDAQ OMX Valueguard Flats Swe,STO
