1
fear,34
,Price,Position,Ticker
2019-09-27 00:00:00,51.029998779296875,long,TXG
2019-10-03 00:00:00,48.119998931884766,short,TXG
2019-10-04 00:00:00,51.45000076293945,long,TXG
2019-10-08 00:00:00,49.54999923706055,short,TXG
2019-10-09 00:00:00,50.0099983215332,long,TXG
2019-10-10 00:00:00,48.439998626708984,short,TXG
2019-10-14 00:00:00,50.2599983215332,long,TXG
2019-11-07 00:00:00,55.279998779296875,short,TXG
2019-12-10 00:00:00,65.94999694824219,long,TXG
2019-12-16 00:00:00,61.9900016784668,short,TXG
2020-01-09 00:00:00,77.16999816894531,long,TXG
2020-02-12 00:00:00,86.66000366210938,short,TXG
2020-02-13 00:00:00,86.7699966430664,long,TXG
2020-02-19 00:00:00,90.5999984741211,short,TXG
2020-02-24 00:00:00,79.94999694824219,long,TXG
2020-02-26 00:00:00,75.18000030517578,short,TXG
2020-02-28 00:00:00,79.69999694824219,long,TXG
2020-03-03 00:00:00,76.94999694824219,short,TXG
2020-03-05 00:00:00,72.58999633789062,long,TXG
2020-03-06 00:00:00,71.27999877929688,short,TXG
2020-03-10 00:00:00,66.5,long,TXG
2020-03-12 00:00:00,59.599998474121094,short,TXG
2020-03-17 00:00:00,59.880001068115234,long,TXG
2020-03-19 00:00:00,55.0,short,TXG
2020-03-20 00:00:00,55.779998779296875,long,TXG
2020-03-23 00:00:00,51.56999969482422,short,TXG
2020-03-24 00:00:00,57.11000061035156,long,TXG
2020-03-25 00:00:00,59.9900016784668,short,TXG
2020-05-14 00:00:00,78.97000122070312,long,TXG
2020-05-15 00:00:00,77.94999694824219,short,TXG
2020-05-26 00:00:00,76.0,long,TXG
2020-05-27 00:00:00,77.66000366210938,short,TXG
2020-05-28 00:00:00,76.29000091552734,long,TXG
2020-05-29 00:00:00,77.97000122070312,short,TXG
