FLWS
1d,2019-04-20,None
1
MeanReversion,25
,Price,Position,Ticker
2019-06-04 00:00:00,19.059999465942383,short,FLWS
2019-06-20 00:00:00,19.68000030517578,long,FLWS
2019-07-12 00:00:00,19.18000030517578,short,FLWS
2019-07-19 00:00:00,19.1299991607666,long,FLWS
2019-08-13 00:00:00,19.239999771118164,short,FLWS
2019-08-15 00:00:00,18.260000228881836,long,FLWS
2019-08-21 00:00:00,19.360000610351562,short,FLWS
2019-08-22 00:00:00,17.059999465942383,long,FLWS
2019-10-11 00:00:00,14.34000015258789,short,FLWS
2019-10-18 00:00:00,14.029999732971191,long,FLWS
2019-10-31 00:00:00,14.260000228881836,short,FLWS
2019-11-01 00:00:00,13.449999809265137,long,FLWS
2019-11-22 00:00:00,12.869999885559082,short,FLWS
2020-01-27 00:00:00,14.5,long,FLWS
2020-01-28 00:00:00,15.180000305175781,short,FLWS
2020-01-31 00:00:00,15.1899995803833,long,FLWS
2020-02-18 00:00:00,17.780000686645508,short,FLWS
2020-03-11 00:00:00,15.84000015258789,long,FLWS
2020-03-13 00:00:00,14.800000190734863,short,FLWS
2020-03-18 00:00:00,11.170000076293945,long,FLWS
2020-03-19 00:00:00,13.260000228881836,short,FLWS
2020-04-13 00:00:00,14.180000305175781,long,FLWS
2020-06-16 00:00:00,22.59000015258789,short,FLWS
2020-06-23 00:00:00,21.639999389648438,long,FLWS
2020-07-15 00:00:00,25.549999237060547,short,FLWS
