2
BuyHighSellLow,2
,Multiplier,Correct,Incorrect
ACIA,0.6262750773347764,4,6
TXG,0.15216958339858344,2,4
fear,2
,Multiplier,Correct,Incorrect
ACIA,0.7949091131036932,27,17
TXG,0.016657437037683853,11,22
